DateKey,Sales Date,Month,Day,Year,MonthName,DayofWeek,WeekendorWeekday,WeeKNumber,Quarter,YearMonth,YearQuarter,YearWeekNumber,YearWeekdayOrWeekend,YearDayOfWeek
01012015,1/1/2015,1,1,2015,January,Thursday,Weekday,1,Quarter 1,2015-January,2015-Quarter 1,2015-1,2015-Weekday,2015-Thursday
01022015,1/2/2015,1,2,2015,January,Friday,Weekday,1,Quarter 1,2015-January,2015-Quarter 1,2015-1,2015-Weekday,2015-Friday
01032015,1/3/2015,1,3,2015,January,Saturday,Weekend,1,Quarter 1,2015-January,2015-Quarter 1,2015-1,2015-Weekend,2015-Saturday
01042015,1/4/2015,1,4,2015,January,Sunday,Weekend,2,Quarter 1,2015-January,2015-Quarter 1,2015-2,2015-Weekend,2015-Sunday
01052015,1/5/2015,1,5,2015,January,Monday,Weekday,2,Quarter 1,2015-January,2015-Quarter 1,2015-2,2015-Weekday,2015-Monday
01062015,1/6/2015,1,6,2015,January,Tuesday,Weekday,2,Quarter 1,2015-January,2015-Quarter 1,2015-2,2015-Weekday,2015-Tuesday
01072015,1/7/2015,1,7,2015,January,Wednesday,Weekday,2,Quarter 1,2015-January,2015-Quarter 1,2015-2,2015-Weekday,2015-Wednesday
01082015,1/8/2015,1,8,2015,January,Thursday,Weekday,2,Quarter 1,2015-January,2015-Quarter 1,2015-2,2015-Weekday,2015-Thursday
01092015,1/9/2015,1,9,2015,January,Friday,Weekday,2,Quarter 1,2015-January,2015-Quarter 1,2015-2,2015-Weekday,2015-Friday
01102015,1/10/2015,1,10,2015,January,Saturday,Weekend,2,Quarter 1,2015-January,2015-Quarter 1,2015-2,2015-Weekend,2015-Saturday
01112015,1/11/2015,1,11,2015,January,Sunday,Weekend,3,Quarter 1,2015-January,2015-Quarter 1,2015-3,2015-Weekend,2015-Sunday
01122015,1/12/2015,1,12,2015,January,Monday,Weekday,3,Quarter 1,2015-January,2015-Quarter 1,2015-3,2015-Weekday,2015-Monday
01132015,1/13/2015,1,13,2015,January,Tuesday,Weekday,3,Quarter 1,2015-January,2015-Quarter 1,2015-3,2015-Weekday,2015-Tuesday
01142015,1/14/2015,1,14,2015,January,Wednesday,Weekday,3,Quarter 1,2015-January,2015-Quarter 1,2015-3,2015-Weekday,2015-Wednesday
01152015,1/15/2015,1,15,2015,January,Thursday,Weekday,3,Quarter 1,2015-January,2015-Quarter 1,2015-3,2015-Weekday,2015-Thursday
01162015,1/16/2015,1,16,2015,January,Friday,Weekday,3,Quarter 1,2015-January,2015-Quarter 1,2015-3,2015-Weekday,2015-Friday
01172015,1/17/2015,1,17,2015,January,Saturday,Weekend,3,Quarter 1,2015-January,2015-Quarter 1,2015-3,2015-Weekend,2015-Saturday
01182015,1/18/2015,1,18,2015,January,Sunday,Weekend,4,Quarter 1,2015-January,2015-Quarter 1,2015-4,2015-Weekend,2015-Sunday
01192015,1/19/2015,1,19,2015,January,Monday,Weekday,4,Quarter 1,2015-January,2015-Quarter 1,2015-4,2015-Weekday,2015-Monday
01202015,1/20/2015,1,20,2015,January,Tuesday,Weekday,4,Quarter 1,2015-January,2015-Quarter 1,2015-4,2015-Weekday,2015-Tuesday
01212015,1/21/2015,1,21,2015,January,Wednesday,Weekday,4,Quarter 1,2015-January,2015-Quarter 1,2015-4,2015-Weekday,2015-Wednesday
01222015,1/22/2015,1,22,2015,January,Thursday,Weekday,4,Quarter 1,2015-January,2015-Quarter 1,2015-4,2015-Weekday,2015-Thursday
01232015,1/23/2015,1,23,2015,January,Friday,Weekday,4,Quarter 1,2015-January,2015-Quarter 1,2015-4,2015-Weekday,2015-Friday
01242015,1/24/2015,1,24,2015,January,Saturday,Weekend,4,Quarter 1,2015-January,2015-Quarter 1,2015-4,2015-Weekend,2015-Saturday
01252015,1/25/2015,1,25,2015,January,Sunday,Weekend,5,Quarter 1,2015-January,2015-Quarter 1,2015-5,2015-Weekend,2015-Sunday
01262015,1/26/2015,1,26,2015,January,Monday,Weekday,5,Quarter 1,2015-January,2015-Quarter 1,2015-5,2015-Weekday,2015-Monday
01272015,1/27/2015,1,27,2015,January,Tuesday,Weekday,5,Quarter 1,2015-January,2015-Quarter 1,2015-5,2015-Weekday,2015-Tuesday
01282015,1/28/2015,1,28,2015,January,Wednesday,Weekday,5,Quarter 1,2015-January,2015-Quarter 1,2015-5,2015-Weekday,2015-Wednesday
01292015,1/29/2015,1,29,2015,January,Thursday,Weekday,5,Quarter 1,2015-January,2015-Quarter 1,2015-5,2015-Weekday,2015-Thursday
01302015,1/30/2015,1,30,2015,January,Friday,Weekday,5,Quarter 1,2015-January,2015-Quarter 1,2015-5,2015-Weekday,2015-Friday
01312015,1/31/2015,1,31,2015,January,Saturday,Weekend,5,Quarter 1,2015-January,2015-Quarter 1,2015-5,2015-Weekend,2015-Saturday
02012015,2/1/2015,2,1,2015,February,Sunday,Weekend,6,Quarter 1,2015-February,2015-Quarter 1,2015-6,2015-Weekend,2015-Sunday
02022015,2/2/2015,2,2,2015,February,Monday,Weekday,6,Quarter 1,2015-February,2015-Quarter 1,2015-6,2015-Weekday,2015-Monday
02032015,2/3/2015,2,3,2015,February,Tuesday,Weekday,6,Quarter 1,2015-February,2015-Quarter 1,2015-6,2015-Weekday,2015-Tuesday
02042015,2/4/2015,2,4,2015,February,Wednesday,Weekday,6,Quarter 1,2015-February,2015-Quarter 1,2015-6,2015-Weekday,2015-Wednesday
02052015,2/5/2015,2,5,2015,February,Thursday,Weekday,6,Quarter 1,2015-February,2015-Quarter 1,2015-6,2015-Weekday,2015-Thursday
02062015,2/6/2015,2,6,2015,February,Friday,Weekday,6,Quarter 1,2015-February,2015-Quarter 1,2015-6,2015-Weekday,2015-Friday
02072015,2/7/2015,2,7,2015,February,Saturday,Weekend,6,Quarter 1,2015-February,2015-Quarter 1,2015-6,2015-Weekend,2015-Saturday
02082015,2/8/2015,2,8,2015,February,Sunday,Weekend,7,Quarter 1,2015-February,2015-Quarter 1,2015-7,2015-Weekend,2015-Sunday
02092015,2/9/2015,2,9,2015,February,Monday,Weekday,7,Quarter 1,2015-February,2015-Quarter 1,2015-7,2015-Weekday,2015-Monday
02102015,2/10/2015,2,10,2015,February,Tuesday,Weekday,7,Quarter 1,2015-February,2015-Quarter 1,2015-7,2015-Weekday,2015-Tuesday
02112015,2/11/2015,2,11,2015,February,Wednesday,Weekday,7,Quarter 1,2015-February,2015-Quarter 1,2015-7,2015-Weekday,2015-Wednesday
02122015,2/12/2015,2,12,2015,February,Thursday,Weekday,7,Quarter 1,2015-February,2015-Quarter 1,2015-7,2015-Weekday,2015-Thursday
02132015,2/13/2015,2,13,2015,February,Friday,Weekday,7,Quarter 1,2015-February,2015-Quarter 1,2015-7,2015-Weekday,2015-Friday
02142015,2/14/2015,2,14,2015,February,Saturday,Weekend,7,Quarter 1,2015-February,2015-Quarter 1,2015-7,2015-Weekend,2015-Saturday
02152015,2/15/2015,2,15,2015,February,Sunday,Weekend,8,Quarter 1,2015-February,2015-Quarter 1,2015-8,2015-Weekend,2015-Sunday
02162015,2/16/2015,2,16,2015,February,Monday,Weekday,8,Quarter 1,2015-February,2015-Quarter 1,2015-8,2015-Weekday,2015-Monday
02172015,2/17/2015,2,17,2015,February,Tuesday,Weekday,8,Quarter 1,2015-February,2015-Quarter 1,2015-8,2015-Weekday,2015-Tuesday
02182015,2/18/2015,2,18,2015,February,Wednesday,Weekday,8,Quarter 1,2015-February,2015-Quarter 1,2015-8,2015-Weekday,2015-Wednesday
02192015,2/19/2015,2,19,2015,February,Thursday,Weekday,8,Quarter 1,2015-February,2015-Quarter 1,2015-8,2015-Weekday,2015-Thursday
02202015,2/20/2015,2,20,2015,February,Friday,Weekday,8,Quarter 1,2015-February,2015-Quarter 1,2015-8,2015-Weekday,2015-Friday
02212015,2/21/2015,2,21,2015,February,Saturday,Weekend,8,Quarter 1,2015-February,2015-Quarter 1,2015-8,2015-Weekend,2015-Saturday
02222015,2/22/2015,2,22,2015,February,Sunday,Weekend,9,Quarter 1,2015-February,2015-Quarter 1,2015-9,2015-Weekend,2015-Sunday
02232015,2/23/2015,2,23,2015,February,Monday,Weekday,9,Quarter 1,2015-February,2015-Quarter 1,2015-9,2015-Weekday,2015-Monday
02242015,2/24/2015,2,24,2015,February,Tuesday,Weekday,9,Quarter 1,2015-February,2015-Quarter 1,2015-9,2015-Weekday,2015-Tuesday
02252015,2/25/2015,2,25,2015,February,Wednesday,Weekday,9,Quarter 1,2015-February,2015-Quarter 1,2015-9,2015-Weekday,2015-Wednesday
02262015,2/26/2015,2,26,2015,February,Thursday,Weekday,9,Quarter 1,2015-February,2015-Quarter 1,2015-9,2015-Weekday,2015-Thursday
02272015,2/27/2015,2,27,2015,February,Friday,Weekday,9,Quarter 1,2015-February,2015-Quarter 1,2015-9,2015-Weekday,2015-Friday
02282015,2/28/2015,2,28,2015,February,Saturday,Weekend,9,Quarter 1,2015-February,2015-Quarter 1,2015-9,2015-Weekend,2015-Saturday
03012015,3/1/2015,3,1,2015,March,Sunday,Weekend,10,Quarter 1,2015-March,2015-Quarter 1,2015-10,2015-Weekend,2015-Sunday
03022015,3/2/2015,3,2,2015,March,Monday,Weekday,10,Quarter 1,2015-March,2015-Quarter 1,2015-10,2015-Weekday,2015-Monday
03032015,3/3/2015,3,3,2015,March,Tuesday,Weekday,10,Quarter 1,2015-March,2015-Quarter 1,2015-10,2015-Weekday,2015-Tuesday
